,count,unique,top,freq,mean,std,min,25%,50%,75%,max
symboling,205.0,,,,0.8341463414634146,1.2453068281055297,-2.0,0.0,1.0,2.0,3.0
normalized-losses,205,52,?,41,,,,,,,
make,205,22,toyota,32,,,,,,,
fuel-type,205,2,gas,185,,,,,,,
aspiration,205,2,std,168,,,,,,,
num-of-doors,205,3,four,114,,,,,,,
body-style,205,5,sedan,96,,,,,,,
drive-wheels,205,3,fwd,120,,,,,,,
engine-location,205,2,front,202,,,,,,,
wheel-base,205.0,,,,98.75658536585367,6.021775685025571,86.6,94.5,97.0,102.4,120.9
length,205.0,,,,174.04926829268288,12.33728852655518,141.1,166.3,173.2,183.1,208.1
width,205.0,,,,65.90780487804878,2.145203852687183,60.3,64.1,65.5,66.9,72.3
height,205.0,,,,53.72487804878049,2.4435219699049036,47.8,52.0,54.1,55.5,59.8
curb-weight,205.0,,,,2555.5658536585365,520.6802035016387,1488.0,2145.0,2414.0,2935.0,4066.0
engine-type,205,7,ohc,148,,,,,,,
num-of-cylinders,205,7,four,159,,,,,,,
engine-size,205.0,,,,126.90731707317073,41.64269343817984,61.0,97.0,120.0,141.0,326.0
fuel-system,205,8,mpfi,94,,,,,,,
bore,205,39,3.62,23,,,,,,,
stroke,205,37,3.40,20,,,,,,,
compression-ratio,205.0,,,,10.142536585365855,3.972040321863298,7.0,8.6,9.0,9.4,23.0
horsepower,205,60,68,19,,,,,,,
peak-rpm,205,24,5500,37,,,,,,,
city-mpg,205.0,,,,25.21951219512195,6.542141653001622,13.0,19.0,24.0,30.0,49.0
highway-mpg,205.0,,,,30.75121951219512,6.886443130941824,16.0,25.0,30.0,34.0,54.0
price,205,187,?,4,,,,,,,
